source,section_id,title,source_path,normalized_sha256,proposed_target,proposed_treatment,atomic_mapping,verification,heading,end_before_heading
WSJF,WSJF-01,WSJF-Grundmodell,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,a95631842344eedcc6752ba51fd115eb4bdf87923e43f6900f002fa338010843,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-02,Einheitliche Bewertungsskala,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,dc2f5683e53f91a2ea75307599949cb32c32ae6ad9f127d0a073b2a8a4e34432,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-03,User / Business Value,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,3747a0071e1cf1db708414016343e4989a9ac42ee170f14dabd40e7f0ee7992c,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-04,Time Criticality,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,82e7d663ff19ba5afa399730f2df8601acfc98d4afc883b0580227be7c7556f9,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-05,Risk Reduction / Opportunity Enablement,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,8e16e3269fac0a3e9eb61e2bbbe922c91a52ea19f9cbc1a9430da8360549cdf5,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-06,Job Size,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,98b6e7cf248b7ab728ff6f6e62c5d49a8e77df5e5254e118782be10d4dfb04cd,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-07,Große Stories,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,cb4c31acff78378ef507fbc5c52dcc52edd43a1b2dbd14a27f1ccf31ea92a796,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-08,Confidence,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,60912c7a6410ca1d9f1908c8c0c1ed9f78171afa6a8598dd3f8e6702b9f09e71,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-09,WSJF-Berechnung,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,ac650a27bddbc4db59f72fd4779decc84df16e9dc2116c3870787210b740f558,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-10,Priorisierung,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,de979d50ed3c0776f21929477a703e4f1c219ac9df3e4101d001d8de8294a798,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-11,Manuelle Arbeit minimieren,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,f5b6a42e5f6446d22fee57f008f7cf543bd01206713852b2e5bc3a72a9ff7948,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-12,Story-Format,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,033c443557e6d3ec1500eaa22cadc2bb58edbe8d5d6ff625102e9d1f069c1a6d,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-13,Bestehende Backlogs erweitern,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,3cdffb8ff1ee8e483b740fbe0d8794336ac05257425ce54b42205ea96d0e700e,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-14,Gemeinsames Multi-Agent-Scrum-Team,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,c09b6ccc5a3e9da48536fcf4b0488092b81e01d42679afea0cf527cf045cc89b,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-15,Gemeinsamer Scrum-State,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,81b810c3c617f11ab6e4bf8e37ae1e7c00cfac00b6842aaf22a617bf70ba1cc2,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-16,Execution State,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,e969d2914e2b075ab7be1048e7dcfc399b16874b9340592bd4abc2d1111e9145,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-17,Ready Queue,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,a64a970748fc5a496d217d9abcfed4fdcc008d5478916c1aa7cdbc9ac580cfef,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-18,Pull-Prinzip,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,575ce5ea4959ccaafc23c3af609b8ea39bdc16a4a37b1b825bb5d98899319be3,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-19,Story Claiming,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,e54b01ebc1e0977958beb530e889c02580e3eb9c69b78d144f55e0d3d684766b,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-20,Claim-Übernahme,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,b6afefa28f3360bfd41909c5a7b98759fa689654b155317a59330a3996517ac7,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-21,Parallelization Status,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,072407193329ad55c26e0da9e5c6a3a77d0f4a6a2fbbc048650182bd8dc11d31,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-22,Conflict Scope,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,be16b33ed2401ce654df37c6cc3d07e7fc18ffa05d169174ab1df01e61310aa8,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-23,Parallelization Potential,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,4db1fb83ae4771a4562b01c9615ab1897bd90862708a757591d9c8b38f5523f6,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-24,WSJF und Parallelisierung bleiben getrennt,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,65fd5d2fb107a62e45a4cceed12bbd2522b7e91dc33c955a1ef4d3ebcae38e28,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-25,Story-Zerlegung für Multi-Agent-Arbeit,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,41ad5dccd6f546b7dcb50431a6034d6ec1e82e5f80d39d41c7b80ecb11f14f79,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-26,Vertikale Stories bevorzugen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,be044582112701cf308f6f59b8eb2ef9428bdce6bed4aa6bd935c0d8310cdadb,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-27,Temporäre Agent-Rollen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,9d7587f684b9d505f1dbfe1158c0f47681b2bf32d5093e7f4e01c0912fdcccb3,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-28,Controller / Scrum Coordinator,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,29b555da0c9bdfecca92385e9bf50fc20c9c7820f72b9f1fd51edd9915bc287b,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-29,Controller ist keine zweite Source of Truth,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,530e0144fc77779c36eb0d69c0b05a05a9e6abe36e136a89144a3e04517da8ae,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-30,Agent-Auswahl,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,6741dffd90dcb4dab160e881c4d6a09de25c863e849c8259c6f1070567b9635b,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-31,Kontinuierliches Pull-System,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,0d84740daa290fbfbf026c897657db875431641595cd8b1f153706a4ce176884,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-32,Benutzerentscheidungen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,33651277c96931939000e3dda25a2990a6117f6735ec82ba352e431352aa111d,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-33,Harte Benutzergrenzen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,be6f87074b8e007290fc34cc05b7f33509f1a22fa7e3eb1fbdb653bf8b573436,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-34,WIP-Limits,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,95a018c761ee2546901a82c0ea77670913b3cc11ccb2a1bc6fedfaf71ab51d99,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-35,Keine künstliche Auslastung,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,143b3b471a9ea731d1ee99ecdb927cd25ddd350b442e20f399c5dbfae823daae,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-36,Review durch anderen Agent,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,cc2e841af5d6ae37cee8bef01eaa8e07de9356c808fbbe4426f35a69590d0517,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-37,Review ist keine neue Fachentscheidung,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,bdd2dc6d425b5f9e67d14b3a7bd55c3961b12fc5cb74ea621c1161a8c4ee82ea,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-38,Integration Queue,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,81f37a29f6ca9d67c08a0c3a8348f33dfcdb36ad088df4dd665c609613626b4c,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-39,Keine direkte Done-Markierung durch Worker,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,cdbe78500a9e3bc77150da0581abb8e58f59b0ab1c284d1532370faa1c622a43,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-40,Re-Evaluation von WSJF,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,46cc18eb47ec91817ce966e8cc422415d912d68f4b05acb1f01888aab41bf242,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-41,Geschützte Business Values,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,736543c893442fb1d21087e400a15c25f51837213203c94ff910def388633942,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-42,Keine automatische Preemption,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,38be9798a35c76fa34c6e20e578359f706d43d585952f49cbc4f0b50f4938449,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-43,Sprint Planning,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,4daf24fff296c2cbe087f924b9a4d63b7a66b2c4acf813e6f9a07d6b2d71724b,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-44,Sprint Execution Graph,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,3cdb0eb77a5746301de1d5f5591c62f408c12f3b0d7bf8f2eb784f76c695f0cb,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-45,Team Status,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,9162c83160cf8e82d4be11eb9bee3e9085ee722cde130d08805426f5ac3641ca,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-46,Backlog Refinement parallel zur Implementierung,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,f26da1255cf017c52b1ccd5fe8d2f332b44224e9078de6c0b805e7febc67c109,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-47,Definition of Ready,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,6f9c6c6e91c1a0f312135664f6fa2a162149e1c46e5758cb7d7677c1edc79247,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-48,Definition of Done,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,b87c61c1dd8c8959b48e2be986fac12744daa55c8e98123734e91adae3aed804,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-49,Agent-Kommunikation über den gemeinsamen Zustand,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,53f0c6f7b88eda09e751c9fbd845f3f049785eb008077713484a9538a61933e9,ST-SOT-22,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-50,Keine versteckte Agent-zu-Agent-Abhängigkeit,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,efbed74e929b5eaa3a563b3c332ae661f9255125a74ac0345bea54f3e3d4a253,ST-SOT-22,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-51,Technische Übergabe,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,3c36ca52e4536229a7a74a056787a8125cac8dc0f6ff3ca83b75c5127b288340,ST-SOT-22,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-52,Blocker-Management,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,700c23609af1a05daabd7f3f7285c1d00b8e011d8da0c3c054b2c9137c554c87,ST-SOT-22,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-53,Abhängigkeiten,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,2bba65da44a642735ce51557bef5eb817560e2cd4c69dd75738f4dfb1d22b8d6,ST-SOT-22,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-54,WSJF bei Dependencies,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,2a6d6f01dfc80e0c78f21703f2419910bdf4e2bceeda2dcd7cb51029383ff026,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-55,WSJF und Enabler,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,860bd392d3263bc77dd4d3284371ed3c954feb07f29a0ba17c4c3e56da35b5e8,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-56,WSJF-Vergleichsraum,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,e2ac0f0b2e8c8c6ebf868a422819ac1d23f5d8667ab574a191318bee84be6c40,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-57,Prioritätsüberschreibungen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,417991e8ced4b323402e8976eb5756476eea4ec8a2bc2d2d3a2a56b2ac301438,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-58,Keine Manipulation des WSJF,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,b54d5df94dfc762a7bf131d5dcdc94f122ef37fc53d6fc4a47f9d757e91b1c42,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-59,Auditierbarkeit,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,f2d226cc6f27c022380f51a66d28a75d131209e464dd4263fb2a6e76ccc828a0,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-60,Bestehende Entscheidungen schützen,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,691fbcc64c8d08dbe0e0fc25c49a40e81b564917d4f56849999b78fcb414f02b,ST-SOT-19,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-61,Sicherheit bei paralleler Arbeit,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,e1dea94afcf905983dc08443a5dbc1aa866898b59ef61f4270927087a3f86d71,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-62,Integration vor Geschwindigkeit,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,3d866a679b39f3a54d34267cc67e0f23c1fd0e0293cbdabd88d1b95b49f294d2,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-63,Controller-Entscheidungslogik,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,ad5aedca870937a7511b3bbcb430c1d1398e2b3decaf8dd7cbc72989f8bdb67f,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-64,Keine Story nur wegen WSJF starten,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,c1d4973fb3f909371d10748b5bd14abb229288cd8c71d703ba3a9d35a6de527a,ST-SOT-21,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-65,Arbeitsprinzip des Agent-Teams,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,dd91757b3a26af163914ce2811f1b70cbe5e66e3ffda0df6261635f4fa041ff5,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-66,Grundregel,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,c2402a66b32a7552fd8bb823c6564ebf707ed9ef83f75342d1681f41326cb24a,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
WSJF,WSJF-67,Oberste Regel,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md,8428dfa8487d9d44495ba9c7cce6dddfd68237b4250b510596468e50f1bbb8b6,ST-SOT-20,NOT_CLASSIFIED,PLANNING_MAPPED,PENDING,,
SOT,SOT-00,Einleitung,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,e939cc4f352f2e00dd743de4dce3af34114f24d83744cb78a10cbf53cf1212bf,ST-SOT-12..17,PRESERVED,PLANNING_MAPPED,PENDING,# Verbindlicher Source-of-Truth-Prozess,## 1. Intake neuer Informationen
SOT,SOT-GOAL,Ziel,docs/sot-optimization/sources/sot-process-input-2026-09-26.md,90df724644c80cb0b853325880d69f47720c1a2feb18b1cefe22630fdd62f157,ST-SOT-31,PRESERVED,PLANNING_MAPPED,PENDING,## Ziel,
