source_section,clause_id,source_anchor,requirement,target_story,proposed_treatment,implementation_status,semantic_verification,planned_check
WSJF-07,WSJF-07.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L191-L211,Bei Zerlegung bleiben Traceability und Acceptance Criteria erhalten; WSJF wird für die neuen Stories neu berechnet.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story mit Size 13 löst Zerlegungsprüfung aus; Split bewahrt AC/Traceability und berechnet neue WSJF.
WSJF-07,WSJF-07.03,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L191-L211,"Eine große Story bleibt nur bestehen, wenn weitere Zerlegung eigenständigen fachlichen Wert zerstören würde.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story mit Size 13 löst Zerlegungsprüfung aus; Split bewahrt AC/Traceability und berechnet neue WSJF.
WSJF-08,WSJF-08.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L212-L241,"Jede automatische Bewertung dokumentiert Confidence High, Medium oder Low.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Low-Confidence-Fixture zeigt fehlende Evidenz und berechnet trotzdem WSJF.
WSJF-08,WSJF-08.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L212-L241,"Low Confidence dokumentiert fehlende Information, unsichere Annahme oder unzureichend untersuchten Technikbereich sichtbar; sie blockiert die WSJF-Berechnung nicht.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Low-Confidence-Fixture zeigt fehlende Evidenz und berechnet trotzdem WSJF.
WSJF-09,WSJF-09.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L242-L270,Cost of Delay und WSJF werden ausschließlich aus den Eingabewerten berechnet; WSJF selbst wird nie manuell geschätzt.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rechner-Fixture mit 13+5+3 und Size 5 ergibt CoD 21/WSJF 4.2; manuelles WSJF-Feld gesperrt.
WSJF-10,WSJF-10.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L271-L295,Innerhalb vergleichbarer Backlogs werden Stories grundsätzlich nach absteigendem WSJF sortiert.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Vergleichbarer Backlog wird nach WSJF sortiert; Security-Override erscheint mit Grund.
WSJF-10,WSJF-10.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L271-L295,"Abweichungen wegen harter Abhängigkeiten, Sicherheit, Datenschutz, Regulierung, Blockern, Enablern, Fristen oder manueller Priorität werden kurz begründet.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Vergleichbarer Backlog wird nach WSJF sortiert; Security-Override erscheint mit Grund.
WSJF-11,WSJF-11.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L296-L321,"Codex analysiert, schlägt vor, begründet und berechnet alle Werte; Nutzende korrigieren nur bei Bedarf.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Proposed-BV-Story bleibt ohne Nutzerbestätigung startbar und besitzt begründete Werte.
WSJF-11,WSJF-11.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L296-L321,Unbestätigter vorgeschlagener Business Value blockiert keine Story.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Proposed-BV-Story bleibt ohne Nutzerbestätigung startbar und besitzt begründete Werte.
WSJF-12,WSJF-12.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L322-L390,"Jede Story führt ID, Titel, User Story, Value Description, vier WSJF-Eingaben, Value Status, Confidence, Cost of Delay und WSJF.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story-Schema-Fixture prüft alle Pflichtfelder und verwirft fehlenden Agent-/Integrationszustand.
WSJF-12,WSJF-12.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L322-L390,"Jede Story führt Acceptance Criteria, Dependencies, Status, Execution State sowie Tasks/Subtasks.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story-Schema-Fixture prüft alle Pflichtfelder und verwirft fehlenden Agent-/Integrationszustand.
WSJF-12,WSJF-12.03,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L322-L390,"Jede Story führt Assigned Agent, Blocking Stories, Blocked By, Parallelization Status, Conflict Scope und Integration Status.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story-Schema-Fixture prüft alle Pflichtfelder und verwirft fehlenden Agent-/Integrationszustand.
WSJF-13,WSJF-13.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L391-L417,Bestehende Backlogs erhalten Zusatzfelder ohne neue Story-Erfindung oder Änderung fachlicher Anforderungen und Acceptance Criteria.,ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Altstory-Fixture behält AC, Originalentscheidung und Anforderungs-zu-Test-Kette nach Erweiterung."
WSJF-13,WSJF-13.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L391-L417,"Ursprüngliche Entscheidungen und Traceability von Originalanforderung über Epic, Story, Task und Implementierung bis Test bleiben erhalten.",ST-SOT-19,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Altstory-Fixture behält AC, Originalentscheidung und Anforderungs-zu-Test-Kette nach Erweiterung."
WSJF-14,WSJF-14.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L418-L435,"Mehrere Agents, Worker und Chats arbeiten in einem Scrum-Team mit genau einem gemeinsamen Product Backlog.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zwei-Agenten-Fixture nutzt denselben Backlog; zweiter Backlog und ungeprüftes Überschreiben werden abgewiesen.
WSJF-14,WSJF-14.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L418-L435,"Kein Agent legt konkurrierende Backlogs oder Prioritätsregeln an, ändert Projektregeln eigenständig, deutet Anforderungen fachlich um oder überschreibt laufende Arbeit ungeprüft.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zwei-Agenten-Fixture nutzt denselben Backlog; zweiter Backlog und ungeprüftes Überschreiben werden abgewiesen.
WSJF-15,WSJF-15.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L436-L459,"Der gemeinsame Scrum-State ist die Source of Truth für Epics, Stories, Tasks, WSJF, Status, Execution State und Dependencies.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Zwei-Agenten-Fixture liest Claims, Blocker, Review und Entscheidung aus demselben State."
WSJF-15,WSJF-15.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L436-L459,"Der gemeinsame State führt Claims, Blocker, Agent-Zuweisungen, Review, Integration und offene Benutzerentscheidungen.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Zwei-Agenten-Fixture liest Claims, Blocker, Review und Entscheidung aus demselben State."
WSJF-16,WSJF-16.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L460-L480,"Execution State ist getrennt vom fachlichen Status und besitzt Backlog, Ready, Claimed, In Progress, Review, Integration, Blocked und Done.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Status-Fixture unterscheidet fachlichen Status von allen acht operativen Execution States.
WSJF-17,WSJF-17.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L481-L501,Eine dynamische Ready Queue wird aus dem Product Backlog gebildet und grundsätzlich nach WSJF sortiert.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Ready-Fixture ohne AC/Vorgängerauflösung bleibt draußen; erfüllte Fixture wird nach WSJF sortiert.
WSJF-17,WSJF-17.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L481-L501,"Aufnahme in die Ready Queue setzt klare Anforderung, Acceptance Criteria, dokumentierte und erfüllte Vorgänger, keine zwingende offene Nutzerentscheidung und sinnvollen technischen Start voraus.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Ready-Fixture ohne AC/Vorgängerauflösung bleibt draußen; erfüllte Fixture wird nach WSJF sortiert.
WSJF-18,WSJF-18.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L502-L523,Ein freier Agent zieht die höchstpriorisierte tatsächlich ausführbare Ready Story.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Freier Agent überspringt blockierte/geclaimte Topstory und zieht höchste ausführbare Story.
WSJF-18,WSJF-18.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L502-L523,"Pull setzt ungelöste Blocker, vorhandene Claims, unzulässige Konflikte und Agent-Eignung vor Start in Beziehung; Dependencies gehen vor bloßem WSJF.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Freier Agent überspringt blockierte/geclaimte Topstory und zieht höchste ausführbare Story.
WSJF-19,WSJF-19.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L524-L550,"Vor Beginn claimt ein Agent Story oder Task mit Execution State Claimed, Assigned Agent und Claimed At.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Claim-Fixture setzt Claimed, Agent und Timestamp vor Arbeit; Doppelclaim scheitert."
WSJF-19,WSJF-19.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L524-L550,Nach tatsächlichem Beginn wird In Progress gesetzt; andere Agents übernehmen die geclaimte Arbeit nicht eigenständig.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Claim-Fixture setzt Claimed, Agent und Timestamp vor Arbeit; Doppelclaim scheitert."
WSJF-20,WSJF-20.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L551-L563,"Claim-Übernahme erfordert Freigabe, Abbruch, Controller-Reassignment oder ausdrückliche Benutzerzuweisung; stille Übernahme ist untersagt.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Übernahmeversuch ohne Freigabe scheitert; Controller-Reassignment ist protokolliert.
WSJF-21,WSJF-21.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L564-L590,"Jede Story erhält Parallelization Status Parallel Safe, Parallel With Coordination, Sequential oder Unknown.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Vier Konflikt-Fixtures ergeben Safe, Coordination, Sequential und Unknown."
WSJF-21,WSJF-21.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L564-L590,"Die Einstufung zeigt unabhängige Arbeit, koordinationsbedürftige Überschneidung, nötige Vorgänger oder ungeklärte Konfliktlage an.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Vier Konflikt-Fixtures ergeben Safe, Coordination, Sequential und Unknown."
WSJF-22,WSJF-22.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L591-L615,Vor Claim analysiert Codex den wahrscheinlichen technischen Conflict Scope der Story zur Früherkennung paralleler Konflikte.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Claim-Fixture prüft Datei-/Komponentenschnittmengen vor parallelem Start.
WSJF-23,WSJF-23.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L616-L631,"Optionales Parallelization Potential High, Medium oder Low beschreibt Verteilbarkeit von Story oder Tasks; es beeinflusst WSJF nicht.",ST-SOT-21,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Potential-Änderung High zu Low lässt WSJF numerisch unverändert.
WSJF-24,WSJF-24.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L632-L649,WSJF bleibt unabhängig von Agent-Zahl und Parallelisierbarkeit; Job Size darf wegen verfügbarer Worker nicht künstlich sinken.,ST-SOT-21,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zusätzlicher Worker verändert weder Job Size noch WSJF.
WSJF-25,WSJF-25.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L650-L669,"Codex prüft sinnvolle Zerlegung in unabhängige überprüfbare Tasks oder vertikale Stories mit klaren Acceptance Criteria, geringer Konfliktlage und kontrollierbarer Integration.",ST-SOT-21,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zerlegungs-Fixture akzeptiert nur unabhängig prüfbare Teile mit AC und Traceability.
WSJF-25,WSJF-25.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L650-L669,Keine künstliche Zerlegung zur Auslastung; Traceability bleibt erhalten.,ST-SOT-21,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zerlegungs-Fixture akzeptiert nur unabhängig prüfbare Teile mit AC und Traceability.
WSJF-26,WSJF-26.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L670-L700,Fachliche Stories bleiben möglichst vertikal wertliefernd; technische Tasks dürfen anhand ihrer Abhängigkeiten parallel verteilt werden.,ST-SOT-21,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Story-Fixture bleibt vertikal; abhängige Tasks laufen sequenziell und unabhängige parallel.
WSJF-27,WSJF-27.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,"Temporäre Rollen sind Implementation, Analysis, Review, Test, Integration und Backlog Refinement Agent.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-27,WSJF-27.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,"Rollen definieren Implementierung, Analyse, unabhängige Prüfung, Tests, Integration und Refinement; keine dauerhafte Rollenzuweisung.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-27,WSJF-27.03,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,"Implementation Agent implementiert Story oder Task; Analysis Agent prüft Anforderungen, Repository, Dependencies, technische Wirkung und Zerlegung.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-27,WSJF-27.04,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,"Review Agent prüft fremde Änderungen gegen Acceptance Criteria, Architektur, Design Guide, Security, Projekt- und Bildregeln sowie Tests.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-27,WSJF-27.05,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,Test Agent führt gezielte Tests aus oder erweitert Abdeckung; Integration Agent integriert parallele Änderungen und prüft Konflikte.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-27,WSJF-27.06,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L701-L755,"Backlog Refinement Agent verbessert WSJF-Vorschläge, Dependencies, Job Size, Confidence, Parallelization Status und Ready Status.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Rollen-Fixture prüft sechs temporäre Rollen und ihre jeweiligen Übergabe-/Prüfaufgaben.
WSJF-28,WSJF-28.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L756-L777,"Ein zentraler Controller überwacht Backlog und Teamstatus, erzeugt Ready Queue, berechnet WSJF und verwaltet Claims und Blocker.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Controller-Fixture erzeugt Queue, Claims, Review/Integration und sichtbaren Teamstatus ohne eigene Implementierung."
WSJF-28,WSJF-28.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L756-L777,"Controller koordiniert Agenten, Reviews, Integration und offene Benutzerentscheidungen; geeignete Worker implementieren vorrangig.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Controller-Fixture erzeugt Queue, Claims, Review/Integration und sichtbaren Teamstatus ohne eigene Implementierung."
WSJF-28,WSJF-28.03,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L756-L777,"Controller überwacht Agent-Zuweisungen und koordiniert parallele Arbeit, Reviews und Integration.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Controller-Fixture erzeugt Queue, Claims, Review/Integration und sichtbaren Teamstatus ohne eigene Implementierung."
WSJF-28,WSJF-28.04,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L756-L777,Controller sammelt offene Benutzerentscheidungen und stellt Teamstatus bereit.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Controller-Fixture erzeugt Queue, Claims, Review/Integration und sichtbaren Teamstatus ohne eigene Implementierung."
WSJF-29,WSJF-29.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L778-L787,Controller hält keinen geheimen Backlog und keine nicht dokumentierte Schattenplanung; Entscheidungen stehen im gemeinsamen State.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Controller-Entscheidung ist im gemeinsamen State sichtbar; Schattenliste wird verworfen.
WSJF-30,WSJF-30.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L788-L805,"Agent-Zuweisung berücksichtigt WSJF, Ready, Dependencies, Claims, Conflict Scope und Parallelization Status.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zuweisungs-Fixture vergleicht WSJF/Ready/Claims/Konflikt mit Agent-Kontext und Integrationsrisiko.
WSJF-30,WSJF-30.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L788-L805,"Kontextwissen, bearbeitete Komponenten und Integrationsrisiko fließen ein; unnötiger Kontextwechsel wird vermieden.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zuweisungs-Fixture vergleicht WSJF/Ready/Claims/Konflikt mit Agent-Kontext und Integrationsrisiko.
WSJF-31,WSJF-31.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L806-L818,"Nach Abschluss dokumentiert der Agent Ergebnis, setzt Review/Integration, gibt Claim frei und zieht nächste zulässige Arbeit.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Abschluss-Fixture dokumentiert Ergebnis, wechselt zu Review, gibt Claim frei und zieht nächste Ready Story."
WSJF-31,WSJF-31.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L806-L818,Einzelne Agent-Zuweisungen brauchen nicht jeweils manuelle Benutzerfreigabe.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,"Abschluss-Fixture dokumentiert Ergebnis, wechselt zu Review, gibt Claim frei und zieht nächste Ready Story."
WSJF-32,WSJF-32.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L819-L834,"Zwingende Benutzerentscheidung setzt Execution State Blocked, Blocked By User Decision und dokumentiert die konkrete Frage.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,User-Decision-Fixture blockiert betroffene Story mit Frage; unabhängige Story bleibt ausführbar.
WSJF-32,WSJF-32.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L819-L834,Andere unabhängige Stories laufen während offener Entscheidung weiter.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,User-Decision-Fixture blockiert betroffene Story mit Frage; unabhängige Story bleibt ausführbar.
WSJF-33,WSJF-33.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L835-L856,"User Decision Required ist eine harte Grenze: Agenten dürfen analysieren und Optionen vorbereiten, aber keine Fachentscheidung, Anforderungsänderung oder irreversible Richtung selbst wählen.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,User Decision Required verhindert fachlichen Commit; Analyse/Optionen bleiben möglich.
WSJF-34,WSJF-34.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L857-L879,Implementierungs-WIP bleibt durch Review- und Integrationskapazität begrenzt.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zweiter aktiver Claim für denselben Implementierungsagenten wird bis Review/Blocked abgewiesen.
WSJF-34,WSJF-34.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L857-L879,"Ein Implementation Agent hat standardmäßig höchstens eine aktive Story oder Task; neuer Pull erst ab Review, Integration, Done oder ausdrücklich Blocked.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Zweiter aktiver Claim für denselben Implementierungsagenten wird bis Review/Blocked abgewiesen.
WSJF-35,WSJF-35.01,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L880-L897,"Freie Agents können ohne sichere Implementierungsarbeit Refinement, Dependency-Analyse, Tests und Risikoprüfung ausführen.",ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Ohne sichere Ready Story entsteht Refinement-/Test-Arbeit ohne künstliche Story.
WSJF-35,WSJF-35.02,docs/sot-optimization/sources/wsjf-multi-agent-input-2026-09-26.md#L880-L897,Keine künstlichen Stories nur zur Auslastung erzeugen.,ST-SOT-20,MERGE_REQUIRED,NOT_IMPLEMENTED,PENDING,Ohne sichere Ready Story entsteht Refinement-/Test-Arbeit ohne künstliche Story.
