ID,Source,Section,Line,SourceRole,SourceStatus,OriginalText
SRC-0033,AGENTS.md,Working rules / Editorial photo processing,113,project-rule,Not explicit,"- Wo eine Gesichts- oder Kennzeichenanonymisierung konkret beauftragt ist, nur die sichtbaren identifizierenden Merkmale beziehungsweise Kennzeichenzeichen mit eng sitzender Maske, kleinem Sicherheitsrand und weichen Kanten bearbeiten. Keine groben Blöcke oder Überläufe auf Haare, Kleidung, Körper oder Hintergrund. Bei 100% und in jeder Webgröße auf Unlesbarkeit prüfen. Nicht identifizierende Rückansichten brauchen keine Gesichtsmaske."
SRC-0034,AGENTS.md,Working rules / Editorial photo processing,114,project-rule,Not explicit,"- For a restrained VanVenture outdoor-editorial grade, correct white balance and exposure, recover plausible highlight/shadow detail, keep real skin texture, keep greens moody but plausible, slightly desaturate sky/water blues, subtly support warm browns/oranges, and use controlled filmic contrast with gently lifted blacks. Keep the daylight character. Tune by image rather than applying fixed values. Avoid beauty retouching, face/body reshaping, artificial bokeh, HDR, excessive saturation, or invented ""golden hour"" light."
SRC-0035,AGENTS.md,Working rules / Editorial photo processing,115,project-rule,Not explicit,"- Remove human-made distractions only after the user confirms the exact elements. Work locally on a project derivative, repair only the confirmed distraction, and inspect the repaired area at 100% for repeated texture, seams, or changes to nearby scene details. Do not infer approval to remove adjacent poles, buildings, people, or objects."
SRC-0036,AGENTS.md,Working rules / Editorial photo processing,116,project-rule,Not explicit,"- Do not use headshot treatment, a neutral background replacement, or portrait-style transformations for travel images. Portrait-like images are optional editorial moments, not a separate portrait series."
SRC-0037,AGENTS.md,Working rules / Editorial photo processing,117,project-rule,Not explicit,"- Keep an unchanged project copy and a source-path/hash record before any derivative is made. Produce all edited, resized, or anonymized versions from that project copy."
SRC-0038,AGENTS.md,Working rules / Editorial photo processing,118,project-rule,Not explicit,- Treat any AI-enhanced image as a review derivative until explicitly approved. It must be visually compared with its unchanged project copy and must never become the only retained version.
SRC-0039,AGENTS.md,Working rules / Editorial photo processing,119,project-rule,Not explicit,- Do not publish images with recognizable children unless the user explicitly selects them for publication.
SRC-0040,README.md,VanVenture Website,3,project-reference,Not explicit,"Die zweisprachige Homepage und die Reiseberichte laufen produktiv auf dem Contabo-Server Marvin: https://vanventure.at/. Der frühere GitHub-Pages-Auftritt besteht als ältere Veröffentlichung. Der verbindliche Überblick für Prioritäten, Phasen und neue Ideen steht im [Ausbauplan](docs/ausbauplan.md); SEO und Live-Betrieb sind unter [docs/seo.md](docs/seo.md) dokumentiert."
SRC-0041,README.md,VanVenture Website,5,project-reference,Not explicit,"Für Website- und Bildänderungen gelten zusätzlich der [konsolidierte Gesamtauftrag](docs/vanventure-gesamtauftrag-mit-pruefung-und-freigaben.md), die [Template-Spezifikation](docs/responsive-templates.md) und der [Design Guide](docs/design-guide.md). Diese Dokumente unterscheiden Dokumentation, Prüfung, Freigabe und Live-Verifikation ausdrücklich."
SRC-0042,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,13,project-reference,Not explicit,1. Aktuelle Fahrzeugdaten und Fotos
SRC-0043,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,14,project-reference,Not explicit,"2. Reiseberichte mit Routen, Karten, Kosten und Stellplätzen"
SRC-0044,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,15,project-reference,Not explicit,3. Echte Ausrüstungsliste und Kennzeichnung möglicher Affiliate-Links
SRC-0045,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,16,project-reference,Not explicit,"4. Kontakt-E-Mail, Impressum und Datenschutzerklärung"
SRC-0046,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,17,project-reference,Not explicit,"5. Google-Produktionsfreigabe erst nach Rechtstexten, Domainbestätigung und erforderlicher Scope-Verifizierung"
SRC-0047,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,19,project-reference,Not explicit,6. Privates Familien-Scrum-Board für gemeinsame Aufgaben; der Content Planner bleibt davon getrennt
SRC-0048,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,22,project-reference,Not explicit,"Der gemeinsame Google-Login für Redaktion und Cockpit ist auf Marvin live abgenommen und nutzt einen eigenen, minimal berechtigten OAuth-Webclient. Die Anmeldung mit einem freigegebenen sowie die Ablehnung eines nicht freigegebenen Google-Kontos sind verifiziert. Der getrennte YouTube-Zugang bleibt davon unberührt."
SRC-0049,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,28,project-reference,Open/Blocked (source wording),"Der erste verbindliche Content-Test ist ebenfalls produktiv vorbereitet: „GCS nach einem Jahr“ ist im Cockpit gebrieft, mit 24 geschätzten Stunden versehen; zehn geprüfte GCS-Fakten liegen im Master Context. Die noch offenen Test-Briefs für EXPLORE und MOVE stehen im Gesamtplan."
SRC-0050,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,33,project-reference,Done/Existing (source wording; verify),"Die Sprachumschaltung übersetzt auf Kajak/Riverstar, Ausrüstung und Rädern auch die redaktionellen Inhalte. EN und der Rückwechsel auf DE sind live geprüft."
SRC-0051,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,36,project-reference,Not explicit,Zum lokalen Ansehen `index.html` in einem Browser öffnen. Keine Veröffentlichung oder externe Änderung erfolgt ohne ausdrückliche Freigabe.
SRC-0052,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,38,project-reference,Not explicit,"Homepage und geschützte Redaktion laufen auf dem Contabo-Server Marvin gemeinsam in Docker mit PostgreSQL. Die Redaktion ist unter https://vanventure.at/redaktion erreichbar. Überarbeitungen werden im Codex-Chat beauftragt. Änderungen dürfen auf Benutzerauftrag direkt im Live-System bereitgestellt werden; ein kurzer Neustart ist akzeptiert. Die Serverdatenbank ist maßgeblich. Der lokale Docker-Stack ist gestoppt, sein Datenbank-Volume bleibt erhalten. Technische Grundlagen stehen unter [editor/README.md](editor/README.md)."
SRC-0053,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,40,project-reference,Not explicit,"Vor einem GitHub-Pages-Release `node tools/export-pages.mjs` ausführen: Das exportiert die freigegebenen Datenbankberichte in `travel-stories.json`, aktualisiert die Startseite und baut die statischen Reiseseiten. Dafür müssen Docker und Python verfügbar sein; bei Bedarf `DOCKER_BIN` und `PYTHON_BIN` setzen. Zugangsdaten, Datenbankdumps, Originalbilder und private Analyseunterlagen werden nicht eingecheckt."
SRC-0054,README.md,VanVenture Website / Noch offen – maßgeblich im Gesamtplan,42,project-reference,Not explicit,"Für Releases des privaten Serverteils gelten die wiederholbaren Prüfungen in [docs/betrieb.md](docs/betrieb.md). `npm run check:release` führt Tests, Konfigurationsprüfung, Dump und Healthcheck aus; `npm run monitor:cockpit` liefert einen sicher gekürzten Cockpit-Status für den Server-Monitor."
SRC-0055,CONTRIBUTING.md,Contributing to VanVenture / Branches,5,project-reference,Not explicit,`main` is the production branch. Do not work directly on it.
SRC-0056,CONTRIBUTING.md,Contributing to VanVenture / Branches,7,project-reference,Not explicit,Create one focused branch per change:
SRC-0057,CONTRIBUTING.md,Contributing to VanVenture / Branches,9,project-reference,Not explicit,- `feature/<short-topic>` for a new capability
SRC-0058,CONTRIBUTING.md,Contributing to VanVenture / Branches,10,project-reference,Not explicit,- `fix/<short-topic>` for a bug fix
SRC-0059,CONTRIBUTING.md,Contributing to VanVenture / Branches,11,project-reference,Not explicit,- `content/<short-topic>` for website content
SRC-0060,CONTRIBUTING.md,Contributing to VanVenture / Branches,12,project-reference,Not explicit,- `chore/<short-topic>` for maintenance and tooling
SRC-0061,CONTRIBUTING.md,Contributing to VanVenture / Branches,14,project-reference,Not explicit,Update your local `main` before starting a branch:
SRC-0062,CONTRIBUTING.md,Contributing to VanVenture / Branches,16,project-reference,Not explicit,```bash git switch main git pull --ff-only git switch -c feature/<short-topic> ```
SRC-0063,CONTRIBUTING.md,Contributing to VanVenture / Change process,24,project-reference,Not explicit,1. Keep each change focused and reversible.
SRC-0064,CONTRIBUTING.md,Contributing to VanVenture / Change process,25,project-reference,Not explicit,2. Check the website locally before committing.
SRC-0065,CONTRIBUTING.md,Contributing to VanVenture / Change process,26,project-reference,Not explicit,"3. Use an imperative commit title, for example `Add vehicle profile section`."
SRC-0066,CONTRIBUTING.md,Contributing to VanVenture / Change process,27,project-reference,Not explicit,4. Push the branch and open a pull request into `main`.
SRC-0067,CONTRIBUTING.md,Contributing to VanVenture / Change process,28,project-reference,Not explicit,5. Merge only after the change has been reviewed and explicitly approved for public release.
SRC-0068,CONTRIBUTING.md,Contributing to VanVenture / Content and publishing,32,project-reference,Not explicit,"All public-facing text, images, links, social posts, DNS changes, and production releases require Helmut's explicit approval immediately before publication."
SRC-0069,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",3,acceptance-evidence,Not explicit,**Quellstand:** Nutzerdatei `Eingefügter Text.txt` mit dem vollständigen „VanVenture Analytics – Implementierungsplan“; bestehender Gesamtplan und konsolidierter Gesamtauftrag im lokalen Arbeitsverzeichnis am 25. September
SRC-0070,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",6,acceptance-evidence,Not explicit,2026. Die Quell-Datei enthielt 48 Abschnitte und die Definition of Done.
SRC-0071,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",8,acceptance-evidence,Not explicit,| Anforderung | Dokumentierter Stand | Umsetzung und Prüfung | Live |
SRC-0072,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",10,acceptance-evidence,Not explicit,"| Einziger aktiver, ansprechbarer Arbeitsplan | `docs/ausbauplan.md`, `ANALYTICS 0–8` mit Stories `n.m` | Planabgleich mit 28 registrierten Quellen erfolgreich | Keine Analytics-Funktion veröffentlicht |"
SRC-0073,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",11,acceptance-evidence,Not explicit,"| Providerunabhängige Schnittstelle, Policy, Event-Schema | `docs/analytics.md` als fachliche Referenz; `AGENTS.md` verweist darauf | Implementierung und Tests offen | Offen |"
SRC-0074,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",12,acceptance-evidence,Not explicit,"| Umami, Null-Provider und Ausschluss eigener Zugriffe | Stories 2 und 3 mit konkreter Abnahme | Offen | Offen |"
SRC-0075,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",13,acceptance-evidence,Not explicit,"| Content-Events, UTM, Berichte, Tests, Wechsel | Stories 4 bis 8 mit Teilwert und Grenzen | Offen | Offen |"
SRC-0076,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",14,acceptance-evidence,Not explicit,| CMS-Abhängigkeit | `ANALYTICS 3.4` hängt ausdrücklich von CMS 3 ab | Offen | Offen |
SRC-0077,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",16,acceptance-evidence,Not explicit,"**Reproduzierbare Prüfung:** `node deploy/plan-consistency.mjs` meldete „Planabgleich erfolgreich: 28 Quellen sind im docs/ausbauplan.md abgedeckt.“ `git diff --check` meldete keine Whitespace-Fehler. Die Node-Laufzeit wurde über die gebündelte Workspace-Abhängigkeit aufgerufen, da `npm` in der aktuellen Shell nicht im Suchpfad liegt."
SRC-0078,docs/abnahmeberichte/analytics-planung-2026-09-25.md,"Abnahme: Analytics-Planung, 25. September 2026",23,acceptance-evidence,Not explicit,"**Grenze:** Diese Abnahme betrifft nur die lokale Plan- und Anforderungsdokumentation. Phase 0, Architekturentscheidungen, Code, Tests, Commit/Push und Live-Rollout für Analytics stehen aus. Design-Guide und Bilder sind inhaltlich unverändert. Ein Webdienst-Neustart war nicht erforderlich."
SRC-0079,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur,3,acceptance-evidence,Not explicit,Der aktuelle Gesamtstatus wird ausschließlich im [Ausbauplan](../ausbauplan.md) geführt; dieser Bericht dokumentiert die konkrete Bildkorrektur.
SRC-0080,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur,6,acceptance-evidence,Done/Existing (source wording; verify),"Stand: 24. September 2026 Status: **vom Nutzer für die Website freigegeben, lokal umgesetzt und visuell geprüft; nicht committed, nicht gepusht, nicht veröffentlicht und nicht live verifiziert.**"
SRC-0081,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Anlass und Geltungsbereich,13,acceptance-evidence,Not explicit,"Der Nutzer beanstandete `assets/vehicle/vehicle-side-camp-v2.png`: Die offen dargestellte Schiebetür und das vollständig sichtbare Hinterrad ergaben eine räumlich unplausible Fahrzeugkonstruktion. Er benannte `assets/vehicle/vehicle-side-dog.png` ausdrücklich als Referenz dafür, wie die Tür im geöffneten Zustand über dem Hinterrad sitzen muss. Dies ist eine motivbezogene Korrektur, keine neue Designregel. Nach Sichtung von V3 bestätigte der Nutzer ausdrücklich: „diese bild ist freigeben. das ist jetzt richtig so. verwende diese bild für webseite!“"
SRC-0082,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Nachweismatrix,24,acceptance-evidence,Not explicit,| Kennung | Vorgabe / Umfang | Umsetzung und Beleg | Prüfmethode | Ergebnis |
SRC-0083,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Nachweismatrix,26,acceptance-evidence,Not explicit,"| IMG-VEH-DOOR-20260924 | Geöffnete Tür und Hinterrad physisch plausibel darstellen | Neue, nicht destruktive Webableitung `assets/vehicle/vehicle-side-camp-v3.png`, lokal in `vehicle.html` eingebunden; Nutzerfreigabe erteilt | Visueller Vergleich mit V2 und der vom Nutzer genannten Referenz `vehicle-side-dog.png` | bestanden: die nach hinten geschobene Tür überlappt den oberen Hinterradbereich; das Rad ist nur unterhalb der Tür normal sichtbar |"
SRC-0084,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Nachweismatrix,27,acceptance-evidence,Not explicit,| IMG-ORIG-20260924 | Unveränderte Quelle erhalten | Projektkopie `review/selected-originals/vehicle/20250610_124826.jpg` blieb unverändert; Archiv wurde nicht verwendet oder beschrieben | vorhandene Quellen- und Prüfsummenangabe in `docs/vehicle-bildquellen.json` geprüft | bestanden |
SRC-0085,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Nachweismatrix,28,acceptance-evidence,Not explicit,"| IMG-PRIV-20260924 | Kennzeichenschutz und Bildschutz nicht umgehen | Korrekturumfang auf Tür, hinteres Seitenpanel und Radüberlagerung beschränkt; kein Kennzeichen sichtbar | Sichtprüfung der V3 bei voller Auflösung | bestanden |"
SRC-0086,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Nachweismatrix,29,acceptance-evidence,Not explicit,| REL-VEH-20260924 | Lokale Integration und spätere Live-Kette getrennt halten | `vehicle.html` verweist auf V3; V2 bleibt erhalten | Quellpfad- und Prüfsummenprüfung | lokal bestanden; Commit `9befff7` auf `main` gepusht; Release/Live-Prüfung offen |
SRC-0087,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Quell- und Variantenstand,33,acceptance-evidence,Not explicit,"- Unveränderte Projektkopie: `review/selected-originals/vehicle/20250610_124826.jpg`, SHA-256 `6c612c1bd3c076448db2c40d31585c7ea4a68f54bcf50c2df76498c9e8b4b606`."
SRC-0088,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Quell- und Variantenstand,34,acceptance-evidence,Not explicit,"- Vorherige Webableitung V2: `assets/vehicle/vehicle-side-camp-v2.png`, SHA-256 `761a371467f7621cdfa67e8957d59a8c5c4a7d5def09f8a10ec74908de618d66`; unverändert erhalten."
SRC-0089,docs/abnahmeberichte/fahrzeug-schiebetuer-korrektur-2026-09-24.md,Abnahmebericht – Fahrzeugbild: Schiebetür-/Hinterradkorrektur / Quell- und Variantenstand,35,acceptance-evidence,Not explicit,"- Neue Reviewableitung V3: `assets/vehicle/vehicle-side-camp-v3.png`, SHA-256 `ac7fb742d097d287c0bc3f64436a765cd73315e8d2f2e3bd19751d25b0e2098f`."
