AtomicID,SourceID,Source,Line,Clause,OriginalFullTextRef,PlanningMapping,PlanningCoverage,ImplementationStatus,ImplementationNote,AtomicityReview,ReviewClassification,RequirementID,SuccessorIDs,RequirementText,ConcreteTarget,SemanticResult,ReviewReason,OpenQuestion,ReviewedSourceSHA256,ReviewPackage,BlockCoverageCheck
SRC-0005.b,SRC-0005,AGENTS.md,24,"It governs evidence, original protection, approval gates, and acceptance reporting;",traceability-matrix.csv#SRC-0005,constraint-register.md#src-0005,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0005.b,,"It governs evidence, original protection, approval gates, and acceptance reporting;",constraint-register.md#src-0005,Complete planning target checked against source condition and exception,"Assigns evidence, original protection, approvals and reporting to that mandate.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0005.c,SRC-0005,AGENTS.md,24,the technical template details remain in [`docs/responsive-templates.md`](docs/responsive-templates.md) and approved visual rules remain in [`docs/design-guide.md`](docs/design-guide.md).,traceability-matrix.csv#SRC-0005,constraint-register.md#src-0005,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0005.c,,the technical template details remain in [`docs/responsive-templates.md`](docs/responsive-templates.md) and approved visual rules remain in [`docs/design-guide.md`](docs/design-guide.md).,constraint-register.md#src-0005,Complete planning target checked against source condition and exception,Keeps technical and approved visual rules in their distinct authoritative documents.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0006.a,SRC-0006,AGENTS.md,30,"- Do not make a new design rule, global component variant, or design exception binding or live without the user's explicit approval.",traceability-matrix.csv#SRC-0006,constraint-register.md#src-0006,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0006.a,,"- Do not make a new design rule, global component variant, or design exception binding or live without the user's explicit approval.",constraint-register.md#src-0006,Complete planning target checked against source condition and exception,"Explicit approval gates new design rules, global variants and exceptions before binding/live use.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0006.b,SRC-0006,AGENTS.md,30,Apply already approved rules without asking again.,traceability-matrix.csv#SRC-0006,constraint-register.md#src-0006,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0006.b,,Apply already approved rules without asking again.,constraint-register.md#src-0006,Complete planning target checked against source condition and exception,Already approved design rules may be applied without repeat approval.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0006.c,SRC-0006,AGENTS.md,30,"After an approved change, update the design guide, implementation, tests, and status evidence together;",traceability-matrix.csv#SRC-0006,constraint-register.md#src-0006,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0006.c,,"After an approved change, update the design guide, implementation, tests, and status evidence together;",constraint-register.md#src-0006,Complete planning target checked against source condition and exception,"Approved changes update guide, implementation, tests and status together.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0006.d,SRC-0006,AGENTS.md,30,never revise the guide merely to justify an unapproved or faulty implementation.,traceability-matrix.csv#SRC-0006,constraint-register.md#src-0006,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0006.d,,never revise the guide merely to justify an unapproved or faulty implementation.,constraint-register.md#src-0006,Complete planning target checked against source condition and exception,Prohibits post-hoc guide changes that rationalize an unapproved or faulty implementation.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0007.a,SRC-0007,AGENTS.md,35,"- For each completed relevant change, keep an evidence matrix and an acceptance report with the tested source state, result, scope, reproducible checks, and plainly named untested or blocked items.",traceability-matrix.csv#SRC-0007,constraint-register.md#src-0007,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0007.a,,"- For each completed relevant change, keep an evidence matrix and an acceptance report with the tested source state, result, scope, reproducible checks, and plainly named untested or blocked items.",constraint-register.md#src-0007,Complete planning target checked against source condition and exception,"Requires an evidence matrix and acceptance report with source, result, scope and gaps.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0007.b,SRC-0007,AGENTS.md,35,"Local preparation, repository state, successful checks, approval, and live verification are distinct statuses.",traceability-matrix.csv#SRC-0007,constraint-register.md#src-0007,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0007.b,,"Local preparation, repository state, successful checks, approval, and live verification are distinct statuses.",constraint-register.md#src-0007,Complete planning target checked against source condition and exception,"Separates preparation, repository, checks, approval and live verification statuses.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0008.a,SRC-0008,AGENTS.md,39,- Consolidate each newly commissioned requirement into its existing authoritative project document in the same change.,traceability-matrix.csv#SRC-0008,"ST-WEB-02,ST-WEB-03,ST-WEB-04,ST-WEB-05,constraint-register.md#src-0008",Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0008.a,,- Consolidate each newly commissioned requirement into its existing authoritative project document in the same change.,"ST-WEB-02#Acceptance-Criteria,ST-WEB-03#Acceptance-Criteria,ST-WEB-04#Acceptance-Criteria,ST-WEB-05#Acceptance-Criteria,constraint-register.md#src-0008",Complete planning target checked against source condition and exception,Places each new commissioned requirement in its authoritative existing document.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0008.b,SRC-0008,AGENTS.md,39,"Public content galleries, including the kayak reference, must use one shared component and the approved photo viewer;",traceability-matrix.csv#SRC-0008,"ST-WEB-02,ST-WEB-03,ST-WEB-04,ST-WEB-05,constraint-register.md#src-0008",Split,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Split parent,,"SRC-0008.b1,SRC-0008.b2",,"ST-WEB-02#Acceptance-Criteria,ST-WEB-03#Acceptance-Criteria,ST-WEB-04#Acceptance-Criteria,ST-WEB-05#Acceptance-Criteria,SRC-0008.b1,SRC-0008.b2",Two independently testable duties traced to successors,Contains two separately checkable gallery duties: shared component and approved viewer.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0008.c,SRC-0008,AGENTS.md,39,read sections 6.1 and 15.1 of the consolidated mandate before changing them.,traceability-matrix.csv#SRC-0008,"ST-WEB-02,ST-WEB-03,ST-WEB-04,ST-WEB-05,constraint-register.md#src-0008",Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0008.c,,read sections 6.1 and 15.1 of the consolidated mandate before changing them.,"ST-WEB-02#Acceptance-Criteria,ST-WEB-03#Acceptance-Criteria,ST-WEB-04#Acceptance-Criteria,ST-WEB-05#Acceptance-Criteria,constraint-register.md#src-0008",Complete planning target checked against source condition and exception,Requires consulting exact mandate sections before gallery changes.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0009.a,SRC-0009,AGENTS.md,46,- This rule applies to every task and every new chat opened for this project.,traceability-matrix.csv#SRC-0009,constraint-register.md#src-0009,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0009.a,,- This rule applies to every task and every new chat opened for this project.,constraint-register.md#src-0009,Complete planning target checked against source condition and exception,Defines project-wide applicability of the deployment section.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0010.a,SRC-0010,AGENTS.md,47,"- **Local-first is mandatory.** Never make, test, or hotfix a requested change directly on the production host.",traceability-matrix.csv#SRC-0010,constraint-register.md#src-0010,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0010.a,,"- **Local-first is mandatory.** Never make, test, or hotfix a requested change directly on the production host.",constraint-register.md#src-0010,Complete planning target checked against source condition and exception,"Forbids direct production modification, test or hotfix under local-first.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0010.b,SRC-0010,AGENTS.md,47,"Before any rollout, update the local target branch from its authoritative remote, implement and verify the change locally, commit it, and push that exact commit.",traceability-matrix.csv#SRC-0010,constraint-register.md#src-0010,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0010.b,,"Before any rollout, update the local target branch from its authoritative remote, implement and verify the change locally, commit it, and push that exact commit.",constraint-register.md#src-0010,Complete planning target checked against source condition and exception,"Requires authoritative remote sync, local verification, commit and push before rollout.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0010.c,SRC-0010,AGENTS.md,47,"Deploy production only from this pushed, locally verified commit;",traceability-matrix.csv#SRC-0010,constraint-register.md#src-0010,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0010.c,,"Deploy production only from this pushed, locally verified commit;",constraint-register.md#src-0010,Complete planning target checked against source condition and exception,Limits production deployment to the exact pushed and locally verified commit.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0010.d,SRC-0010,AGENTS.md,47,record its commit SHA in the acceptance evidence.,traceability-matrix.csv#SRC-0010,constraint-register.md#src-0010,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0010.d,,record its commit SHA in the acceptance evidence.,constraint-register.md#src-0010,Complete planning target checked against source condition and exception,Requires recording the deployed commit SHA in acceptance evidence.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0010.e,SRC-0010,AGENTS.md,47,"If the local branch cannot be reconciled with the authoritative remote state, stop before rollout and report the concrete divergence.",traceability-matrix.csv#SRC-0010,constraint-register.md#src-0010,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0010.e,,"If the local branch cannot be reconciled with the authoritative remote state, stop before rollout and report the concrete divergence.",constraint-register.md#src-0010,Complete planning target checked against source condition and exception,Blocks rollout and requires divergence reporting if branch reconciliation fails.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0011.a,SRC-0011,AGENTS.md,48,"- Unless the user explicitly asks to keep work local, every requested website, cockpit, editorial, or operational change includes its rollout to the production host at `vanventure.at`.",traceability-matrix.csv#SRC-0011,constraint-register.md#src-0011,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0011.a,,"- Unless the user explicitly asks to keep work local, every requested website, cockpit, editorial, or operational change includes its rollout to the production host at `vanventure.at`. Do not leave a completed requested change only in the local workspace for the user to transfer or synchronize manually.",constraint-register.md#src-0011,Complete planning target checked against source condition and exception,Defines the default live rollout scope and its explicit keep-local exception.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0011.b,SRC-0011,AGENTS.md,48,Do not leave a completed requested change only in the local workspace for the user to transfer or synchronize manually.,traceability-matrix.csv#SRC-0011,constraint-register.md#src-0011,Merged,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Merged fragment,SRC-0011.a,SRC-0011.a,,SRC-0011.a,Condition or exception retained in canonical requirement,Restates that completed in-scope changes are not handed over as local-only work.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0012.a,SRC-0012,AGENTS.md,52,- Prefer a live-safe update without restarting a container whenever the deployed architecture actually supports it.,traceability-matrix.csv#SRC-0012,constraint-register.md#src-0012,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0012.a,,- Prefer a live-safe update without restarting a container whenever the deployed architecture actually supports it.,constraint-register.md#src-0012,Complete planning target checked against source condition and exception,Prefers no-restart deployment only where the architecture truly supports it.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0012.b,SRC-0012,AGENTS.md,52,Do not modify the read-only running container or bypass the release process merely to avoid a restart.,traceability-matrix.csv#SRC-0012,constraint-register.md#src-0012,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0012.b,,Do not modify the read-only running container or bypass the release process merely to avoid a restart.,constraint-register.md#src-0012,Complete planning target checked against source condition and exception,Forbids modifying read-only containers or bypassing release steps to avoid restart.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0012.c,SRC-0012,AGENTS.md,52,"When an image rebuild or database migration is required, restart only the affected web service;",traceability-matrix.csv#SRC-0012,constraint-register.md#src-0012,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0012.c,,"When an image rebuild or database migration is required, restart only the affected web service; PostgreSQL, Caddy, public files, and unrelated services remain running.",constraint-register.md#src-0012,Complete planning target checked against source condition and exception,A required rebuild/migration permits restart of only the affected web service.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0012.d,SRC-0012,AGENTS.md,52,"PostgreSQL, Caddy, public files, and unrelated services remain running.",traceability-matrix.csv#SRC-0012,constraint-register.md#src-0012,Merged,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Merged fragment,SRC-0012.c,SRC-0012.c,,SRC-0012.c,Condition or exception retained in canonical requirement,"Names PostgreSQL, Caddy, public files and unrelated services protected by that conditional restart rule.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0013.a,SRC-0013,AGENTS.md,57,"- Before a production rollout, run the relevant release checks.",traceability-matrix.csv#SRC-0013,constraint-register.md#src-0013,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0013.a,,"- Before a production rollout, run the relevant release checks.",constraint-register.md#src-0013,Complete planning target checked against source condition and exception,Makes relevant release checks a prerequisite for every production rollout.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0013.b,SRC-0013,AGENTS.md,57,"Create a protected database dump only when the rollout changes persistent data, applies a database migration, or otherwise makes a material change that is not easily reversible.",traceability-matrix.csv#SRC-0013,constraint-register.md#src-0013,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0013.b,,"Create a protected database dump only when the rollout changes persistent data, applies a database migration, or otherwise makes a material change that is not easily reversible. A backup is not required for a reversible presentation, CSS, JavaScript, or stateless application update.",constraint-register.md#src-0013,Complete planning target checked against source condition and exception,Limits mandatory protected DB dumps to persistent/material hard-to-reverse changes.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0013.c,SRC-0013,AGENTS.md,57,"A backup is not required for a reversible presentation, CSS, JavaScript, or stateless application update.",traceability-matrix.csv#SRC-0013,constraint-register.md#src-0013,Merged,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Merged fragment,SRC-0013.b,SRC-0013.b,,SRC-0013.b,Condition or exception retained in canonical requirement,Defines the corresponding reversible presentation/stateless exception to the dump rule.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0013.d,SRC-0013,AGENTS.md,57,"After rollout, verify `/healthz`, the affected private or public route, and the visible result on the live host.",traceability-matrix.csv#SRC-0013,constraint-register.md#src-0013,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0013.d,,"After rollout, verify `/healthz`, the affected private or public route, and the visible result on the live host.",constraint-register.md#src-0013,Complete planning target checked against source condition and exception,"Requires health, affected-route and visible-result verification after rollout.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0014.a,SRC-0014,AGENTS.md,63,- Report the live URL and whether a web-service restart was necessary.,traceability-matrix.csv#SRC-0014,constraint-register.md#src-0014,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0014.a,,- Report the live URL and whether a web-service restart was necessary.,constraint-register.md#src-0014,Complete planning target checked against source condition and exception,Requires reporting both live URL and web-service restart status.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0014.b,SRC-0014,AGENTS.md,63,A failed check blocks the rollout;,traceability-matrix.csv#SRC-0014,constraint-register.md#src-0014,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0014.b,,A failed check blocks the rollout; report the concrete blocker instead of claiming that the change is live.,constraint-register.md#src-0014,Complete planning target checked against source condition and exception,A failed check stops rollout and requires a concrete blocker report.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0014.c,SRC-0014,AGENTS.md,63,report the concrete blocker instead of claiming that the change is live.,traceability-matrix.csv#SRC-0014,constraint-register.md#src-0014,Merged,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Merged fragment,SRC-0014.b,SRC-0014.b,,SRC-0014.b,Condition or exception retained in canonical requirement,Prohibits a false live claim after a failed check; inseparable from the blocker rule.,,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
SRC-0015.a,SRC-0015,AGENTS.md,66,- Use this fixed production workflow for every task: **synchronize the local target branch → make and test the change locally → commit and push the verified commit → open a short-lived remote session → deploy that exact commit → verify the live result → close the session**.,traceability-matrix.csv#SRC-0015,constraint-register.md#src-0015,Rule / Constraint,Unverified / unknown,Source status only; code/live state not independently verified,Semantic review evidenced in PKG-001,Project rule / constraint,SRC-0015.a,,- Use this fixed production workflow for every task: **synchronize the local target branch → make and test the change locally → commit and push the verified commit → open a short-lived remote session → deploy that exact commit → verify the live result → close the session**.,constraint-register.md#src-0015,Complete planning target checked against source condition and exception,"Specifies the complete ordered production workflow, including closing the session.",,71703547875072eb8ab3b24e8b54711eb14d28f63c6aaae1e61927d415223df0,PKG-001,Full source block reread; original candidate clauses rejoin exactly
