TaskID,ParentStory,SourceID,SourceStatus,TaskOrConstraint
TASK-0028,ST-AN-04,SRC-0403,Planned,- [ ] **ANALYTICS 4.3 – Lesetiefe und Video.** `article_50_percent` und `article_90_percent` nur auf geeigneten Artikeln je Page View einmal senden; `video_start` nur bei tatsächlich messbarem Start ergänzen und Embed-/Consent-Verhalten gesondert prüfen. `gallery_image_view` nur bei belegtem Nutzen und vertretbarem Volumen aktivieren. **Wert:** Leseinteresse wird ohne Ereignisflut auswertbar.
TASK-0029,ST-AN-05,SRC-0405,Planned,"- [ ] **ANALYTICS 5.1 – UTM-Standard und Helper.** `utm_source`, `utm_medium`, `utm_campaign`, `utm_content` zentral erzeugen und normalisieren; nur kurze, stabile, kleingeschriebene Werte ohne personenbezogene Daten zulassen. **Abnahme:** Instagram-, Facebook-, YouTube- und QR-Links für dieselbe Kampagne verwenden dieselbe Kampagnen-ID."
TASK-0030,ST-AN-05,SRC-0406,Planned,"- [ ] **ANALYTICS 5.2 – Wenige Goals und Berichte.** Umami-Goals für ausgewählte Ereignisse wie YouTube-Klick und 90-Prozent-Lesetiefe sowie Berichte zu Seiten, Sprachen, Quellen, Kampagnen und Content-Bereichen konfigurieren; Funnels nur bei konkreter redaktioneller Frage. **Wert:** Ein 28-Tage-Review kann den nächsten Content-Schritt anhand dokumentierter Zahlen und Datenqualitätsgrenzen begründen."
TASK-0031,ST-AN-01,SRC-0408,Planned,"- [ ] **ANALYTICS 6.1 – Core und Adapter automatisiert prüfen.** Policy, Event-/Property-Validierung, Kontext, Content-IDs, URL/UTM, Providerwahl, Null-Provider, Umami-Mapping, Fehlerfall und Verbot direkter Provider-APIs mit aussagekräftigen Unit-/Integrationstests abdecken."
TASK-0032,ST-AN-01,SRC-0409,Planned,"- [ ] **ANALYTICS 6.2 – Netzwerkverhalten durchgängig prüfen.** E2E für anonymous/published gegenüber Login, CMS, Draft, Planned, Preview, localhost, Development, Tests und Staging: Unerlaubte Fälle laden weder Script noch Analytics-Anfrage. Betroffene Live-Routen, `/healthz`, sichtbare Berichte, Performance und Datenschutzdokumentation im Abnahmebericht prüfen. **Wert:** Die Tracking-Grenzen sind reproduzierbar nachgewiesen."
TASK-0033,ST-AN-06,SRC-0411,Planned,"- [ ] **ANALYTICS 7.1 – Wechseltest.** Umami lokal durch einen Testadapter ersetzen und dieselben Pageviews, Events und Properties ohne Änderung an Seiten, Templates, Generatoren, Galerie oder CMS-Komponenten nachweisen. **Abnahme:** Konfiguration und Adapter genügen für einen Wechsel."
TASK-0034,ST-AN-06,SRC-0412,Planned,"- [ ] **ANALYTICS 7.2 – Migrationsweg dokumentieren.** Zeitlich begrenzten, optionalen Parallelbetrieb mit Vergleich von Aufrufen, Events, Quellen, Kampagnen und Goals beschreiben; Mapping und Abschaltung des alten Providers festhalten. **Ergebnis:** Ein späterer Matomo-/GA4-Wechsel ist planbar; ein zweiter Live-Provider wird hier nicht eingeführt."
TASK-0035,ST-AN-07,SRC-0414,Planned,"- [ ] **ANALYTICS 8.1 – Nutzen und Aufwand bewerten.** Nach belastbaren Berichten entscheiden, ob anonyme Tagesaggregate wie `analytics_daily` in PostgreSQL sinnvoll sind. Nur Datum, Event, Content-ID, Content-Typ, Quelle, Medium, Kampagne, Sprache und Anzahl vorsehen; keine IP, User-ID, Profile oder Rohereignisplattform. **Ergebnis:** begründete Ja-/Nein-Entscheidung; eine Implementierung erfordert einen eigenen späteren Auftrag."
TASK-0036,ST-CMS-01,SRC-0418,Planned,"- [ ] **CMS 1.1** Ist-Zustand von Datenbank, `redaction.mjs`, Cockpit/Planner, Seitengeneratoren, Routen, Navigation, SEO, Medienablage und Berechtigungen gegen die geltenden Projektregeln aufnehmen."
TASK-0037,ST-CMS-01,SRC-0419,Planned,"- [ ] **CMS 1.2** Konkreten Plan für Schema, Seitentypen und Templates, Revisionen, öffentliche/private Routen, Inline-Bearbeitung, Medien, Codex-Redaktion, SEO, Tests und Migration erstellen; Überschneidungen mit 1C, 2 und 5 sowie Entscheidungen vor Implementierung benennen."
TASK-0038,ST-CMS-01,SRC-0420,Planned,"- [ ] **CMS 1.3** Jeden Planbereich als `bestanden`, `fehlgeschlagen`, `nicht geprüft` oder `blockiert` gegen die Projektregeln ausweisen. **Gate:** Erst danach CMS 2 beginnen."
TASK-0039,ST-CMS-01,SRC-0422,Planned,"- [ ] **CMS 2.1** Allgemeines Page-Modell mit kanonischem Pfad, Seitentyp, Pillar, Template, Status (`planned`, `draft`, `ready_for_editorial`, `review`, `scheduled`, `published`, `archived`), Veröffentlichungsdatum, SEO-/Video-Feldern und Änderungsnachweis einführen; bestehende Planner- Einträge eindeutig zuordnen statt sie zu duplizieren."
TASK-0040,ST-CMS-01,SRC-0423,Planned,"- [ ] **CMS 2.2** Unveränderliche Revisionshistorie mit getrennter Working und Published Revision einführen. Rohmaterial bleibt neben redigierten Inhalten erhalten; Hero, Lead, Text, Bild/Text, Galerie, Video, Fakten, Route, Gear, CTA und Related Content leiten sich aus den vorhandenen Templates ab."
TASK-0041,ST-CMS-01,SRC-0424,Superseded / duplicate,CMS 2.3 ist ausschließlich TASK-0042 unter ST-CMS-02; dieser historische Duplikateintrag bleibt als Referenz erhalten und ist keine zweite Umsetzung.
TASK-0042,ST-CMS-02,SRC-0424,Planned,"- [ ] **CMS 2.3** Speichern, Review, geplante Veröffentlichung, Veröffentlichung, Archivierung, Rollen, CSRF, Audit und Versionskonflikte mit der bestehenden Redaktion verbinden. Nur eine berechtigte Person darf die veröffentlichte Revision ausdrücklich wechseln."
TASK-0043,ST-CMS-03,SRC-0426,Planned,- [ ] **CMS 3.1** Für Besucher ausschließlich die freigegebene Published Revision ausliefern; unveröffentlichte Pfade wie nicht vorhandene Seiten behandeln. Angemeldete Redakteure sehen die Working Revision in einer geschützten Vorschau ohne öffentliche Draft-Daten oder Editor-Code.
TASK-0044,ST-CMS-03,SRC-0427,Planned,"- [ ] **CMS 3.2** Zentrale Navigation, Sitemap, Canonicals, Metadaten und JSON-LD ausschließlich aus öffentlich freigegebenen Seiten ableiten; intern pflegbare SEO-Felder geplanter Seiten bleiben privat."
TASK-0045,ST-CMS-03,SRC-0428,Planned,"- [ ] **CMS 3.3** Sicherheits- und Regressionstests für anonyme Aufrufe, private Vorschau, alte Published Revision, `noindex`/Sitemap und bestehende statische Routen ausführen. Die Startseite behält ihr eigenes Layout."
TASK-0046,ST-CMS-04,SRC-0430,Planned,- [ ] **CMS 4.1** Texte und Bilder in einer gültigen Redaktionssitzung direkt an ihrer Position bearbeiten beziehungsweise auswählen; Speichern ändert nur die Working Revision und erkennt konkurrierende Änderungen.
TASK-0047,ST-CMS-05,SRC-0431,Planned,"- [ ] **CMS 4.2** Den reiseberichtsspezifischen Codex-Ablauf für Seitentypen verallgemeinern: Rohtext, Fassung, Struktur, Bildnotizen, SEO-Ziele, verknüpftes Video, Master Context und Revision lesen; Ergebnis als neue Review-Revision schreiben, Rohmaterial erhalten und niemals automatisch veröffentlichen."
TASK-0048,ST-CMS-06,SRC-0433,Planned,"- [ ] **CMS 5.1** Medienidentität, Prüfsumme, Herkunft, Maße, Alt-Text, Caption, Fokuspunkt, Notizen, Status, Varianten und Seitenverwendung in PostgreSQL verwalten; Original- und Webdateien liegen im kontrollierten Asset Storage. Derivate entstehen nur aus geschützten Projektkopien."
TASK-0049,ST-CMS-07,SRC-0434,Planned,"- [ ] **CMS 5.2:** Vor Umsetzung die CMS-Seitentyp-/Darstellungsmatrix anlegen: je ausdrücklich video-fähigem Seitentyp CTA oder Embed festlegen; nicht gelistete Typen erzeugen keine Darstellung. CTA bleibt direkter Link ohne VideoObject; VideoObject nur für tatsächlich eingebettete, öffentlich sichtbare Videos. Ausschließlich vorhandene yt_videos verwenden; keine zweite Verwaltung."
TASK-0050,ST-CMS-08,SRC-0436,Planned,"- [ ] **CMS 6.1** Eine bestehende veröffentlichte Seite, vorzugsweise `vehicle.html`, kontrolliert übernehmen. Vorher/nachher Funktion, Inhalt, Bildfreigaben, Darstellung in Desktop/Tablet/Mobil, Sprachen und SEO prüfen."
TASK-0051,ST-CMS-09,SRC-0437,Planned,"- [ ] **CMS 6.2** Eine noch unveröffentlichte Seite, vorzugsweise den HYMER-GCS-Langzeitbericht aus dem bestehenden Planner-Brief, als privaten Entwurf vollständig durch Redaktion, Review und Vorschau führen; öffentliche Nicht-Sichtbarkeit einschließlich Sitemap und Suche prüfen."
TASK-0052,ST-CMS-08,SRC-0438,Planned,Veröffentlichte Referenzseite vehicle.html: eigenes Vorher-/Nachher-Evidence und Acceptance Report; CMS-09 dokumentiert separat den privaten unveröffentlichten Fall.
TASK-0053,ST-CMS-09,SRC-0438,Planned,Privater unveröffentlichter Referenzartikel: eigenes Working/Review/Preview-Evidence und Acceptance Report; keine Aussage über den veröffentlichten CMS-08-Fall.
TASK-0054,ST-AUTH-01,SRC-0440,Existing / Verify,- ~~Google-Adressen der künftigen Administratoren und Redaktionskonten verbindlich festlegen und je vorhandenem Benutzer zuordnen.~~ Zwei aktive Administrationskonten sind in der Produktions-Freigabeliste zugeordnet.
TASK-0055,ST-AUTH-01,SRC-0441,Existing / Verify,"- ~~Additive Datenhaltung für Google-Provider, Google-`sub`, verifizierte E-Mail und Zeitpunkt der Zuordnung ergänzen.~~"
TASK-0056,ST-AUTH-01,SRC-0442,Existing / Verify,"- ~~Start- und Callback-Routen unter `/api/auth/google/*` mit sicherem, allowlist-geprüftem Rücksprung nach `/redaktion` oder `/cockpit` umsetzen.~~"
TASK-0057,ST-AUTH-01,"SRC-0443,SRC-1023,SRC-1024,SRC-1039",Existing / Verify,"Gemeinsame serverseitige Google-Sitzung für Redaktion und Cockpit verifizieren; nur admin und editor erhalten Zugang. Nach normalem Webcontainer-Neustart bleibt die Sitzung erhalten, Abmeldung, Deaktivierung und Rollenänderung entziehen sie sofort."
TASK-0058,ST-AUTH-01,SRC-0444,Existing / Verify,- ~~Verständliche Login-Schaltflächen und einen neutralen Hinweis für nicht freigegebene Google-Konten bereitstellen.~~
TASK-0059,ST-AUTH-01,SRC-0445,Existing / Verify,"- ~~Audit-Einträge für Anmeldung, Abmeldung, fehlgeschlagene Freigaben und administrative Konto-Zuordnungen speichern – ohne Tokens, Secrets oder vollständige sensible Identitätsdaten in Logs.~~"
TASK-0060,ST-AUTH-01,SRC-0446,Existing / Verify,"- ~~Automatisiert prüfen: gültige Anmeldung per Google und nicht freigegebenes Konto nach Anlage des separaten OAuth-Webclients live abnehmen. Wechsel Redaktion ↔ Cockpit, CSRF-Schutz, Abmeldung sowie sofortige Ungültigkeit nach Sperrung oder Rollenänderung sind automatisiert für die gemeinsame serverseitige Sitzung geprüft.~~ **Lokal geprüft am 22. September 2026:** vollständige Testreihe (18 Tests) grün. **Live abgenommen:** `/healthz`, `/redaktion` und `/cockpit` antworten mit HTTP 200; der OAuth-Start für `/cockpit` leitet mit HTTP 303 zu `accounts.google.com`; Anmeldung mit einem freigegebenen und einem nicht freigegebenen Google-Konto ist abgeschlossen."
TASK-0061,ST-WEB-02,SRC-0448,Existing / Verify,"- ~~Den Kajak-Hero als Referenzseite mit dem vom Team ausgewählten, gespiegelten Webbild (Boot rechts), Farbverlauf und Einleitung umsetzen.~~"
TASK-0062,ST-WEB-02,SRC-0449,Existing / Verify,- ~~Den dokumentierten Hero-Standard anschließend auf die verbleibenden öffentlichen Unterseiten anwenden und je Ansicht prüfen.~~
TASK-0063,ST-WEB-02,SRC-0450,Existing / Verify,Verify the shared gallery standard on the kayak and vehicle slices; travel galleries and bike-profile galleries have separate story tasks.
TASK-0064,ST-PHOTO-04,SRC-0450,Existing / Verify,"- ~~Den Galerie-Standard auf jede bestehende öffentliche Inhalts-Unterseite anwenden.~~ Damals waren fünf Radprofile klar als „in Vorbereitung“ markiert; Scott ist inzwischen als Langzeitbericht veröffentlicht. Die übrigen vier bleiben bis zur Auswahl freigegebener Originalbilder und Fakten die einzige dokumentierte, vorläufige Ausnahme."
TASK-0065,ST-WEB-02,SRC-0458,Existing / Verify,"Verify complete English editorial text, saved language choice, and return to German on the kayak/Riverstar route; bike-profile language coverage is checked separately."
TASK-0066,ST-WEB-02,"SRC-0460,SRC-0878",Planned,"Vor Ableitung aktuelle Projektregeln, Architektur, Seiten, Generatoren, Styles und Skripte mit Quellstand prüfen; freigegebene Kajak- und eigenständige Startseitenreferenz mit Datum, Quellstand und Desktop-/Tablet-/Mobilmaßen sichern; Kajakmigration danach gegen Referenz vergleichen (SRC-0460.e, SRC-0461.b, SRC-0878.b/c)."
TASK-0067,ST-WEB-03,SRC-0460,Planned,"Dokumentationsabnahme, Referenzsicherung, Bildprüfung und Live-Prüfung getrennt belegen; keine davon aus dem anderen Nachweis ableiten (SRC-0460.f)."
TASK-0068,ST-WEB-02,SRC-0461,Planned,Kajak- und Fahrzeugstruktur mit gemeinsamen freigegebenen Bausteinen ohne Inhalts- oder Funktionsverlust prüfen.
TASK-0069,ST-WEB-03,SRC-0461,Planned,Eigenständige Startseite und fehlenden Inhalts- oder Funktionsverlust im gemeinsamen Release-Nachweis prüfen.
TASK-0070,ST-WEB-04,SRC-0461,Planned,Drei Reiseberichte über den gemeinsamen Seitengenerator je Bericht prüfen.
TASK-0071,ST-WEB-05,SRC-0461,Planned,Scott und die vier vorbereitenden Radprofile als getrennten Seitentyp-Slice prüfen.
TASK-0072,ST-WEB-03,SRC-0462,Existing / Verify,"Aktuelle Navigation, Scott-/Radstatus und acht Galerien gegen den datierten Bestandsbericht je heutiger Route erneut prüfen; 13 Routen/91 Smoke-Kombinationen sind historische Evidenz (SRC-0462.b–f)."
TASK-0073,ST-WEB-02,SRC-0462,Planned,Template-Trennung und aktuelle Sichtabnahme je betroffener Route nachweisen; historische Suite nicht als neue Abnahme verwenden (SRC-0462.e–g).
TASK-0074,ST-WEB-03,SRC-0462,Planned,"Bildfreigabe, Template-, Sicht- und Live-Gates getrennt prüfen; Bestandsbericht gegenüber älterem Teilbericht und aktuellem Release-Umfang abgleichen (SRC-0462.g–i)."
TASK-0075,ST-WEB-02,SRC-0463,Planned,Neuere Marvin-Bike-Seiten vor Release verlustfrei in synchronisierten Branch integrieren und Übernahme gegen aktuellen Remote-Stand prüfen (SRC-0463.b–e).
TASK-0076,ST-PHOTO-01,SRC-0463,Planned,"Marvin-Webbilder motivweise auf Quelle, Hash und Freigabe prüfen; Verlustfreiheit im Release-Nachweis dokumentieren (SRC-0463.c)."
TASK-0077,ST-PHOTO-01,SRC-0464,Planned,"Aktuelle Bildregister, Original-/Projekt-/Webvarianten und motivweise Freigaben abgleichen; 13 Kajak-Kacheln als Gruppe abnehmen lassen, fehlende Archivtreffer/Google-Bytes/Scott-Frame offen führen; Trulli V11 nur motivweise behandeln (SRC-0464)."
TASK-0078,ST-PHOTO-03,SRC-0465,Planned,"Vier heutige Fahrzeugvarianten je Originaltreue, Änderungskette und Einzelentscheidung prüfen; ältere Chatfreigabe nicht übertragen (SRC-0465)."
TASK-0079,ST-PHOTO-01,SRC-0467,Existing / Verify,Lokalen Quell-/Kopie-/JPEG-Hash- und Sichtbeleg für hero-norway.jpg erhalten; keine Live-Prüfung daraus ableiten (SRC-0467.a–d).
TASK-0080,ST-SEO-01,SRC-0467,Planned,Open-Graph-Referenz auf assets/hero-norway.jpg und die tatsächliche Live-Auslieferung getrennt prüfen (SRC-0467.e).
TASK-0081,ST-PHOTO-01,SRC-0468,Planned,"Staging-Kopienschutz, unveränderte Quelle/Projektkopie mit Hash und vollständigen Bild-/Chat-Belegabgleich prüfen; Archiv-ACL nicht ändern und kein Nutzer-Sonderregister voraussetzen (SRC-0468)."
TASK-0082,ST-WEB-03,SRC-0469,Planned,"Zentrale Änderungswirkung je Komponente und zugeordneter Seite sowie Sicht/Funktion bei fünf Breiten prüfen; konkrete Nutzerfreigabe, exakte gepushte SHA und Live-Nachweis getrennt erfassen (SRC-0469)."
TASK-0083,ST-CON-01,SRC-0470,Existing / Verify,"- ~~Für den VAN-Test „GCS nach einem Jahr“ Zielgruppe, Nutzenversprechen, Format, Ziel/KPI, geschätzte Stunden und Verwertung verbindlich festlegen.~~ Der vollständige [Production Brief](production-briefs/gcs-nach-einem-jahr.md) ist im Live-Planner als `briefed` mit einem Zielaufwand von 8–11 Stunden hinterlegt; Archiv-first und sieben gezielte neue Dreh-Setups ersetzen einen aufwändigen Voll-Dreh."
TASK-0084,ST-CON-02,SRC-0471,Planned,"- [ ] Für die zwei übrigen validierten Tests EXPLORE (California → Hymer) und MOVE (Bike oder Kajak / Basecamp) jeweils Zielgruppe, Nutzenversprechen, Format, Ziel/KPI, geschätzte Stunden und Verwertung verbindlich festlegen."
TASK-0085,ST-CON-03,SRC-0471,Planned,"- [ ] Für die zwei übrigen validierten Tests EXPLORE (California → Hymer) und MOVE (Bike oder Kajak / Basecamp) jeweils Zielgruppe, Nutzenversprechen, Format, Ziel/KPI, geschätzte Stunden und Verwertung verbindlich festlegen."
TASK-0086,ST-CON-01,SRC-0472,Existing / Verify,- ~~Für den VAN-Test das Paket Longform → 2 eigenständige Shorts/Reels → belegte Website-Ergänzung → geprüfte Context-Fakten → 28-Tage-Review festlegen.~~ Die einzelnen Produktions- und Freigabeschritte bleiben bis zur Veröffentlichung offen.
TASK-0087,ST-CON-02,SRC-0473,Planned,- [ ] Für EXPLORE und MOVE die jeweiligen Pakete festlegen: Longform → 2 eigenständige Shorts/Reels → belegte Website-Ergänzung → geprüfte Context-Fakten → 28-Tage-Review.
TASK-0088,ST-CON-03,SRC-0473,Planned,- [ ] Für EXPLORE und MOVE die jeweiligen Pakete festlegen: Longform → 2 eigenständige Shorts/Reels → belegte Website-Ergänzung → geprüfte Context-Fakten → 28-Tage-Review.
TASK-0089,ST-CON-01,SRC-0474,Existing / Verify,"- ~~Die ersten geprüften Fakten zum VAN-Test im Master Context anlegen.~~ Zehn freigegebene, dauerhafte GCS-Fakten sind in Produktion gespeichert."
TASK-0090,ST-CON-02,SRC-0475,Planned,- [ ] Die ersten geprüften Fakten zu EXPLORE und MOVE im Master Context anlegen.
TASK-0091,ST-CON-03,SRC-0475,Planned,- [ ] Die ersten geprüften Fakten zu EXPLORE und MOVE im Master Context anlegen.
TASK-0092,ST-INS-05,SRC-0476,Planned,- [ ] Nach jeder Veröffentlichung tatsächliche Produktionsstunden ergänzen und nach frühestens 28 Tagen Nutzen pro investierter Stunde bewerten.
TASK-0093,ST-BRD-01,SRC-0479,Planned,"- [ ] Familienmitglieder, Anzeige-Namen und Board-Zugriffe festlegen; dabei klären, welche bestehende Rolle das Tablet im Küchenbetrieb benötigt."
TASK-0094,ST-BRD-01,SRC-0480,Planned,"- [ ] Prioritäten (`niedrig`, `normal`, `hoch`, `kritisch`), Fast-Track-Kriterien, Archivfrist, Review-Regeln und die ersten Beispiel-Epics/Stories gemeinsam bestätigen."
TASK-0095,ST-BRD-03,SRC-0481,Planned,"- [ ] Vor Aktivierung den versionierten Fahrzeugwarnungs-Ereignisvertrag mit Schlüssel, Schweregrad, Text, Handlung, authentifizierter Dienstidentität, Signatur/Rotation, Wiederholungsregeln, Datenminimierung und VanVenture-Admin als Betriebsverantwortung dokumentieren. Unabhängig davon bleiben externe Benachrichtigungen bis zur separaten Aktivierungsfreigabe deaktiviert."
